year,month,rank,net_worth,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status
2024,4,39,36.9 B,Nadar,Shiv,Shiv Nadar,1945-07-18,78,Male,India,India,Delhi,Technology,['Technology'],,,True,Increased
2024,4,40,36.8 B,Wertheimer,Alain,Alain Wertheimer,1948-08-28,75,Male,France,United States,New York,Fashion & Retail,['Fashion & Retail'],,,False,Increased
2024,4,40,36.8 B,Wertheimer,Gerard,Gerard Wertheimer,1951-01-09,73,Male,France,United States,New York,Fashion & Retail,['Fashion & Retail'],,,False,Increased
2024,4,42,36.4 B,Griffin,Ken,Ken Griffin,1968-10-15,55,Male,United States,United States,Miami,Finance & Investments,['Finance & Investments'],Citadel LLC,Founder & CEO,True,Increased
2024,4,43,35.6 B,Scott,MacKenzie,MacKenzie Scott,1970-04-07,53,Female,United States,United States,Seattle,Technology,['Technology'],,Philanthropist,False,Increased
2024,4,44,34.0 B,Peterffy,Thomas,Thomas Peterffy,1944-09-30,79,Male,United States,United States,Palm Beach,Finance & Investments,['Finance & Investments'],,,True,Increased
2024,4,45,33.6 B,Wuerth,Reinhold,Reinhold Wuerth & family,1935-04-20,88,Male,Germany,Germany,Kuenzelsau,Manufacturing,['Manufacturing'],,,True,Increased
2024,4,46,33.5 B,Ding,William,William Ding,1971-10-01,52,Male,China,China,Hangzhou,Technology,['Technology'],,,True,Increased
2024,4,46,33.5 B,Jindal,Savitri,Savitri Jindal & family,1950-03-20,74,Female,India,India,Hisar,Metals & Mining,['Metals & Mining'],,,False,Increased
2024,4,48,33.1 B,Aponte,Gianluigi,Gianluigi Aponte,1940-06-27,83,Male,Switzerland,Switzerland,Geneva,Logistics,['Logistics'],,,True,Increased
2024,4,48,33.1 B,Aponte-Diamant,Rafaela,Rafaela Aponte-Diamant,1945-03-26,79,Female,Switzerland,Switzerland,Geneva,Logistics,['Logistics'],,,True,Increased
2024,4,50,33.0 B,Zhao,Changpeng,Changpeng Zhao,1977-02-05,47,Male,Canada,United Arab Emirates,Dubai,Finance & Investments,['Finance & Investments'],,,True,Increased
2024,4,51,32.7 B,Son,Masayoshi,Masayoshi Son,1957-08-11,66,Male,Japan,Japan,Tokyo,Finance & Investments,['Finance & Investments'],Softbank,CEO,True,Increased
2024,4,52,32.1 B,Blavatnik,Len,Len Blavatnik,1957-06-01,66,Male,United States,United Kingdom,London,Diversified,['Diversified'],,,True,Remained Even
2024,4,53,32.0 B,Adelson,Miriam,Miriam Adelson & family,1945-10-10,78,Female,United States,United States,Las Vegas,Gambling & Casinos,['Gambling & Casinos'],,,False,Decreased
2024,4,54,31.6 B,Pinault,François,François Pinault & family,1936-08-21,87,Male,France,France,Paris,Fashion & Retail,['Fashion & Retail'],,,True,Decreased
2024,4,55,31.4 B,Simons,Jim,Jim Simons,1938-04-25,85,Male,United States,United States,East Setauket,Finance & Investments,['Finance & Investments'],Renaissance Technologies Corp.,Founder,True,Increased
2024,4,56,30.8 B,Rinehart,Gina,Gina Rinehart,1954-02-09,70,Female,Australia,Australia,Perth,Metals & Mining,['Metals & Mining'],Hancock Prospecting,Executive Chairman,False,Increased
2024,4,57,30.2 B,Ma,Huateng,Ma Huateng,1971-10-29,52,Male,China,China,Shenzhen,Technology,['Technology'],Tencent Holdings,Chairman and CEO,True,Decreased
2024,4,58,29.0 B,Johnson,Abigail,Abigail Johnson,1961-12-19,62,Female,United States,United States,Milton,Finance & Investments,['Finance & Investments'],Fidelity Investments,Chairman & CEO,False,Increased
2024,4,59,28.6 B,Alekperov,Vagit,Vagit Alekperov,1950-09-01,73,Male,Russia,Russia,Moscow,Energy,['Energy'],,,True,Increased
2024,4,60,28.0 B,Saverin,Eduardo,Eduardo Saverin,1982-03-19,42,Male,Brazil,Singapore,Singapore,Technology,['Technology'],Meta Platforms,Investor,True,Increased
2024,4,60,28.0 B,Walton,Lukas,Lukas Walton,1986-09-19,37,Male,United States,United States,Chicago,Fashion & Retail,['Fashion & Retail'],,,False,Increased
2024,4,62,27.9 B,Larrea Mota Velasco,Germán,Germán Larrea Mota Velasco & family,1953-10-26,70,Male,Mexico,Mexico,Mexico City,Metals & Mining,['Metals & Mining'],,,False,Increased
2024,4,63,27.7 B,Lee,Shau Kee,Lee Shau Kee,1928-01-29,96,Male,Hong Kong,Hong Kong,Hong Kong,Real Estate,['Real Estate'],,,True,Decreased
2024,4,64,27.6 B,Yass,Jeff,Jeff Yass,1958-07-17,65,Male,United States,United States,Haverford,Finance & Investments,['Finance & Investments'],,,True,Decreased
2024,4,65,27.5 B,Pignataro,Andrea,Andrea Pignataro,1970-06-10,53,Male,Italy,Switzerland,St. Moritz,Finance & Investments,['Finance & Investments'],,,True,
2024,4,66,27.4 B,Low Tuck,Kwong,Low Tuck Kwong,1948-04-17,75,Male,Indonesia,Indonesia,Jakarta,Energy,['Energy'],,,True,Increased
2024,4,66,27.4 B,Mikhelson,Leonid,Leonid Mikhelson & family,1955-08-11,68,Male,Russia,Russia,Moscow,Energy,['Energy'],,,True,Increased
2024,4,68,27.3 B,Quandt,Stefan,Stefan Quandt,1966-05-09,57,Male,Germany,Germany,Frankfurt,Automotive,['Automotive'],,,False,Increased
2024,4,69,26.7 B,Shanghvi,Dilip,Dilip Shanghvi,1955-10-01,68,Male,India,India,Mumbai,Healthcare,['Healthcare'],,,True,Increased
2024,4,70,26.6 B,Lisin,Vladimir,Vladimir Lisin,1956-05-07,67,Male,Russia,Russia,Moscow,Metals & Mining,['Metals & Mining'],,,True,Increased
2024,4,71,26.5 B,Hartono,R. Budi,R. Budi Hartono,1941-01-01,83,Male,Indonesia,Indonesia,Kudus,Finance & Investments,['Finance & Investments'],,,False,Increased
2024,4,71,26.5 B,Klatten,Susanne,Susanne Klatten,1962-04-28,61,Female,Germany,Germany,Bad Homburg,Automotive,['Automotive'],,,False,Decreased
2024,4,73,26.2 B,Frist,Thomas,"Thomas Frist, Jr. & family",1938-08-12,85,Male,United States,United States,Nashville,Healthcare,['Healthcare'],,,True,Increased
2024,4,73,26.2 B,Gilbert,Daniel,Daniel Gilbert,1962-01-17,62,Male,United States,United States,Franklin,Finance & Investments,['Finance & Investments'],,,True,Increased
2024,4,75,25.7 B,Fontbona,Iris,Iris Fontbona & family,1943-01-01,81,Female,Chile,Chile,Santiago,Metals & Mining,['Metals & Mining'],,,False,Increased
2024,4,76,25.5 B,Besnier,Emmanuel,Emmanuel Besnier,1970-09-18,53,Male,France,France,Laval,Food & Beverage,['Food & Beverage'],,,False,Increased
2024,4,76,25.5 B,Hartono,Michael,Michael Hartono,1939-10-02,84,Male,Indonesia,Indonesia,Kudus,Manufacturing,['Manufacturing'],,,False,Increased
2024,4,76,25.5 B,Mordashov,Alexey,Alexey Mordashov & family,1965-09-26,58,Male,Russia,Russia,Moscow,Metals & Mining,['Metals & Mining'],,,True,Increased
2024,4,79,25.2 B,Menard,John,"John Menard, Jr.",1940-01-22,84,Male,United States,United States,Eau Claire,Fashion & Retail,['Fashion & Retail'],"Menard, Inc.",Founder,True,Increased
2024,4,80,25.1 B,He,Xiangjian,He Xiangjian & family,1942-08-11,81,Male,China,China,Foshan,Manufacturing,['Manufacturing'],,,True,Increased
2024,4,81,24.5 B,Ma,Jack,Jack Ma,1964-09-10,59,Male,China,China,Hangzhou,Technology,['Technology'],,,True,Increased
2024,4,81,24.5 B,Marshall,Elaine,Elaine Marshall & family,1942-07-22,81,Female,United States,United States,Dallas,Diversified,['Diversified'],,Investor,False,Returned to List
2024,4,83,24.3 B,Stephens,Autry,Autry Stephens,1938-03-08,86,Male,United States,United States,Midland,Energy,['Energy'],,,True,Increased
2024,4,84,24.0 B,Ofer,Eyal,Eyal Ofer,1950-06-02,73,Male,Israel,Monaco,Monte Carlo,Diversified,['Diversified'],,,False,Increased
2024,4,85,23.7 B,Potanin,Vladimir,Vladimir Potanin,1961-01-03,63,Male,Russia,Russia,Moscow,Metals & Mining,['Metals & Mining'],,,True,Remained Even
2024,4,86,23.4 B,Timchenko,Gennady,Gennady Timchenko,1952-11-09,71,Male,Russia,Russia,Moscow,Energy,['Energy'],,,True,Increased
2024,4,87,23.1 B,Takizaki,Takemitsu,Takemitsu Takizaki,1945-06-10,78,Male,Japan,Japan,Osaka,Manufacturing,['Manufacturing'],,,True,Increased
2024,4,88,23.0 B,Adani,Vinod,Vinod Adani,1949-01-10,75,Male,Cyprus,United Arab Emirates,Dubai,Diversified,['Diversified'],,,True,Increased
2024,4,89,22.9 B,Zeng,Robin,Robin Zeng,1969-01-01,55,Male,Hong Kong,China,Ningde,Automotive,['Automotive'],,,True,Decreased
2024,4,90,21.3 B,Poonawalla,Cyrus,Cyrus Poonawalla,1941-05-11,82,Male,India,India,Pune,Healthcare,['Healthcare'],,,False,Decreased
2024,4,91,21.1 B,Melnichenko,Andrey,Andrey Melnichenko & family,1972-03-08,52,Male,Russia,United Arab Emirates,Ras Al Khaimah,Metals & Mining,['Metals & Mining'],,,True,Decreased
2024,4,92,20.9 B,Hendricks,Diane,Diane Hendricks,1947-03-02,77,Female,United States,United States,Afton,Construction & Engineering,['Construction & Engineering'],ABC Supply,Cofounder,True,Increased
2024,4,92,20.9 B,Singh,Kushal Pal,Kushal Pal Singh,1931-08-15,92,Male,India,United Kingdom,London,Real Estate,['Real Estate'],,,False,Increased
2024,4,94,20.6 B,Safra,Vicky,Vicky Safra & family,1953-01-01,71,Female,Brazil,Switzerland,Crans-Montana,Finance & Investments,['Finance & Investments'],,,False,Increased
2024,4,94,20.6 B,Schmidt,Eric,Eric Schmidt,1955-04-27,68,Male,United States,United States,Atherton,Technology,['Technology'],,,True,Increased
2024,4,94,20.6 B,Tepper,David,David Tepper,1957-09-11,66,Male,United States,United States,Palm Beach,Finance & Investments,['Finance & Investments'],Appaloosa Management,President and Founder,True,Increased
2024,4,97,19.8 B,Cohen,Steve,Steve Cohen,1956-06-11,67,Male,United States,United States,Greenwich,Finance & Investments,['Finance & Investments'],Point72 Asset Management,Founder,True,Increased
2024,4,98,19.7 B,Birla,Kumar,Kumar Birla,1967-06-14,56,Male,India,India,Mumbai,Diversified,['Diversified'],,,False,Increased
2024,4,99,19.6 B,Cohen,Rick,Rick Cohen & family,1952-07-25,71,Male,United States,United States,Keene,Technology,['Technology'],,Entrepreneur,False,Increased
2024,4,100,19.5 B,Murdoch,Rupert,Rupert Murdoch & family,1931-03-11,93,Male,United States,United States,New York,Media & Entertainment,['Media & Entertainment'],News Corp,Chairman and CEO,False,Increased
2024,4,101,19.0 B,Forrest,Andrew ,Andrew Forrest & family,1961-11-18,62,Male,Australia,Australia,Perth,Metals & Mining,['Metals & Mining'],,,True,Decreased
2024,4,102,18.5 B,Hamm,Harold,Harold Hamm & family,1945-12-11,78,Male,United States,United States,Oklahoma City,Energy,['Energy'],Continental Resources Inc. ,Chairman and CEO,True,Remained Even
2024,4,103,18.3 B,Moskovitz,Dustin,Dustin Moskovitz,1984-05-22,39,Male,United States,United States,San Francisco,Technology,['Technology'],Asana,Cofounder,True,Increased
2024,4,104,18.0 B,Bren,Donald,Donald Bren,1932-05-11,91,Male,United States,United States,Newport Beach,Real Estate,['Real Estate'],Irvine Company,Chairman,True,Increased
2024,4,104,18.0 B,Kellnerova,Renata,Renata Kellnerova & family,1967-07-04,56,Female,Czech Republic,Czech Republic,Prague,Finance & Investments,['Finance & Investments'],,,False,Increased
2024,4,104,18.0 B,Platt,Michael,Michael Platt,1968-03-18,56,Male,United Kingdom,Switzerland,Geneva,Finance & Investments,['Finance & Investments'],BlueCrest Capital Management,Founder ,True,Increased
2024,4,107,17.6 B,Damani,Radhakishan,Radhakishan Damani,1955-01-01,69,Male,India,India,Mumbai,Fashion & Retail,['Fashion & Retail'],,,True,Increased
2024,4,108,16.9 B,Fredriksen,John,John Fredriksen,1945-02-01,79,Male,Cyprus,United Kingdom,London,Logistics,['Logistics'],,Investor,True,Increased
2024,4,109,16.8 B,Li,Eric,Eric Li,1963-06-01,60,Male,China,China,Hangzhou,Automotive,['Automotive'],,,True,Decreased
2024,4,110,16.6 B,Persson,Stefan,Stefan Persson,1947-10-04,76,Male,Sweden,Sweden,Stockholm,Fashion & Retail,['Fashion & Retail'],Hennes & Mauritz Unsponsored ADR,Chairman,False,Increased
2024,4,111,16.5 B,Ratcliffe,James,James Ratcliffe,1953-01-01,71,Male,United Kingdom,United Kingdom,London,Manufacturing,['Manufacturing'],,,True,Decreased
2024,4,111,16.5 B,Triguboff,Harry,Harry Triguboff,1933-03-03,91,Male,Australia,Australia,Sydney,Real Estate,['Real Estate'],,,True,Increased
2024,4,113,16.4 B,Lemann,Jorge Paulo,Jorge Paulo Lemann & family,1939-08-26,84,Male,Brazil,Switzerland,Zurich,Food & Beverage,['Food & Beverage'],,"Investor, Philanthropist",True,Increased
2024,4,113,16.4 B,Mittal,Lakshmi,Lakshmi Mittal,1950-06-15,73,Male,India,United Kingdom,London,Metals & Mining,['Metals & Mining'],,,False,Decreased
2024,4,115,16.2 B,Jaipuria,Ravi,Ravi Jaipuria,1954-11-28,69,Male,India,India,Delhi,Food & Beverage,['Food & Beverage'],,,False,Increased
2024,4,115,16.2 B,Kroenke,Stanley,Stanley Kroenke,1947-07-29,76,Male,United States,United States,Electra,Sports,['Sports'],,,True,Increased
2024,4,117,16.1 B,Koum,Jan,Jan Koum,1976-02-24,48,Male,United States,United States,Atherton,Technology,['Technology'],WhatsApp Inc.,"CEO, cofounder",True,Increased
2024,4,118,15.9 B,Albrecht Jr.,Karl,Karl Albrecht Jr. & family,1948-01-01,76,Male,Germany,Germany,,Fashion & Retail,['Fashion & Retail'],,,False,Increased
2024,4,118,15.9 B,Heister,Beate,Beate Heister,1951-01-01,73,Female,Germany,,,Fashion & Retail,['Fashion & Retail'],,,False,Increased
2024,4,120,15.8 B,Ofer,Idan,Idan Ofer,1955-10-02,68,Male,Israel,United Kingdom,London,Diversified,['Diversified'],,,False,Increased
2024,4,121,15.6 B,Puech,Nicolas,Nicolas Puech,1943-01-29,81,Male,France,Switzerland,Martigny,Fashion & Retail,['Fashion & Retail'],,,False,Increased
2024,4,122,15.5 B,Durov,Pavel,Pavel Durov,1984-10-10,39,Male,United Arab Emirates,United Arab Emirates,Dubai,Technology,['Technology'],,,True,Increased
2024,4,122,15.5 B,Qin,Yinglin,Qin Yinglin,1965-04-17,58,Male,China,China,Nanyang,Food & Beverage,['Food & Beverage'],,,True,Decreased
2024,4,124,15.4 B,Dalio,Ray,Ray Dalio,1949-08-08,74,Male,United States,United States,Greenwich,Finance & Investments,['Finance & Investments'],Bridgewater Associates,Founder & CIO Mentor,True,Decreased
2024,4,125,15.3 B,Anschutz,Philip,Philip Anschutz,1939-12-28,84,Male,United States,United States,Denver,Finance & Investments,['Finance & Investments'],,,False,Increased
2024,4,126,15.1 B,Lauder,Leonard,Leonard Lauder,1933-03-19,91,Male,United States,United States,New York,Fashion & Retail,['Fashion & Retail'],The Estée Lauder Companies,Chairman Emeritus,False,Decreased
2024,4,126,15.1 B,Li,Xiting,Li Xiting,1951-01-01,73,Male,Singapore,China,Shenzhen,Healthcare,['Healthcare'],,,True,Decreased
2024,4,126,15.1 B,Woo,Peter,Peter Woo,1946-09-05,77,Male,Hong Kong,Hong Kong,Hong Kong,Real Estate,['Real Estate'],,,False,Decreased
2024,4,129,14.8 B,von Bechtolsheim,Andreas,Andreas von Bechtolsheim & family,1955-09-30,68,Male,Germany,United States,Palo Alto,Technology,['Technology'],Arista Networks,"Cofounder, Chief Development Officer and Chairman",True,Increased
2024,4,130,14.6 B,Kaiser,George,George Kaiser,1942-07-29,81,Male,United States,United States,Tulsa,Energy,['Energy'],BOK Financial,Chairman,False,Increased
2024,4,131,14.2 B,Wang,Chuanfu,Wang Chuanfu,1966-02-15,58,Male,China,China,Shenzhen,Automotive,['Automotive'],,,True,Decreased
2024,4,132,14.1 B,de Carvalho-Heineken,Charlene,Charlene de Carvalho-Heineken & family,1954-06-30,69,Female,Netherlands,United Kingdom,London,Food & Beverage,['Food & Beverage'],,,False,Decreased
2024,4,132,14.1 B,Duffield,David,David Duffield,1940-09-21,83,Male,United States,United States,Incline Village,Technology,['Technology'],Workday,Chairman and Cofounder,True,Increased
2024,4,132,14.1 B,Samueli,Henry,Henry Samueli,1954-09-20,69,Male,United States,United States,Newport Beach,Technology,['Technology'],Broadcom,"Cofounder, Chief Technology Officer and Chairman",True,Increased
2024,4,135,14.0 B,Albrecht,Theo,"Theo Albrecht, Jr. & family",1951-01-01,73,Male,Germany,Germany,Mulheim an der Ruhr,Fashion & Retail,['Fashion & Retail'],,,False,Decreased
2024,4,135,14.0 B,Black,Leon,Leon Black,1951-07-31,72,Male,United States,United States,New York,Finance & Investments,['Finance & Investments'],,,True,Increased
2024,4,137,13.8 B,Jones,Jerry,Jerry Jones,1942-10-13,81,Male,United States,United States,Dallas,Sports,['Sports'],Dallas Cowboys,President and General Manager,True,Increased
2024,4,137,13.8 B,Wang,Wei,Wang Wei,1970-10-01,53,Male,China,China,Shenzhen,Service,['Service'],,,True,Decreased
2024,4,139,13.7 B,Green,David,David Green & family,1941-11-13,82,Male,United States,United States,Oklahoma City,Fashion & Retail,['Fashion & Retail'],Hobby Lobby,CEO,True,Decreased
2024,4,140,13.6 B,Dyson,James,James Dyson,1947-05-02,76,Male,United Kingdom,United Kingdom,Gloucestershire,Manufacturing,['Manufacturing'],,,True,Increased
2024,4,140,13.6 B,Sun,David,David Sun,1951-10-12,72,Male,United States,United States,Irvine,Technology,['Technology'],Kingston Technology Corporation,COO,True,Increased
2024,4,140,13.6 B,Tu,John,John Tu,1941-08-12,82,Male,United States,United States,Rolling Hills,Technology,['Technology'],Kingston Technology Corporation,President,True,Increased
2024,4,140,13.6 B,Walton,Christy,Christy Walton,1949-02-08,75,Female,United States,United States,Jackson,Fashion & Retail,['Fashion & Retail'],,,False,Increased
2024,4,144,13.4 B,Dang,Yanbao,Dang Yanbao,1973-02-01,51,Male,China,China,Yinchuan,Metals & Mining,['Metals & Mining'],,,True,Increased
2024,4,144,13.4 B,Dangote,Aliko,Aliko Dangote,1957-04-10,66,Male,Nigeria,Nigeria,Lagos,Manufacturing,['Manufacturing'],Dangote Group,CEO,True,Decreased
2024,4,144,13.4 B,Salinas Pliego,Ricardo,Ricardo Salinas Pliego & family,1955-10-19,68,Male,Mexico,Mexico,Mexico City,Fashion & Retail,['Fashion & Retail'],,,False,Increased
2024,4,144,13.4 B,Usmanov,Alisher,Alisher Usmanov,1953-09-09,70,Male,Russia,Uzbekistan,Tashkent,Metals & Mining,['Metals & Mining'],Metalloinvest,Founder,True,Decreased
2024,4,148,13.3 B,Cannon-Brookes,Mike,Mike Cannon-Brookes,1979-11-17,44,Male,Australia,Australia,Sydney,Technology,['Technology'],,,True,Increased
2024,4,148,13.3 B,Kotak,Uday,Uday Kotak,1959-03-15,65,Male,India,India,Mumbai,Finance & Investments,['Finance & Investments'],,,True,Increased
2024,4,150,13.1 B,Fridman,Mikhail,Mikhail Fridman,1964-04-21,59,Male,Russia,Russia,,Energy,['Energy'],,,True,Increased
2024,4,150,13.1 B,Lau,Joseph,Joseph Lau,1951-07-21,72,Male,Hong Kong,Hong Kong,Hong Kong,Real Estate,['Real Estate'],,,True,Decreased
2024,4,152,13.0 B,Farquhar,Scott,Scott Farquhar,1979-12-17,44,Male,Australia,Australia,Sydney,Technology,['Technology'],,,True,Increased
2024,4,153,12.8 B,Powell Jobs,Laurene,Laurene Powell Jobs & family,1963-11-06,60,Female,United States,United States,Palo Alto,Technology,['Technology'],Emerson Collective,"Investor, Philanthropist",False,Increased
2024,4,154,12.7 B,Goh,Cheng Liang,Goh Cheng Liang,1927-06-27,96,Male,Singapore,Singapore,Singapore,Manufacturing,['Manufacturing'],,,True,Decreased
2024,4,154,12.7 B,Roberts,George,George Roberts,1943-09-14,80,Male,United States,United States,Atherton,Finance & Investments,['Finance & Investments'],,,True,Increased
2024,4,156,12.6 B,Cheriton,David,David Cheriton,1951-03-29,73,Male,Canada,United States,Palo Alto,Technology,['Technology'],Stanford University,Professor,True,Increased
2024,4,156,12.6 B,Hildebrand,Jeffery,Jeffery Hildebrand,1959-03-05,65,Male,United States,United States,Houston,Energy,['Energy'],,,True,Increased
2024,4,156,12.6 B,Stumpf,Georg,Georg Stumpf,1972-09-14,51,Male,Austria,Austria,Vienna,Diversified,['Diversified'],,,True,Increased
2024,4,159,12.5 B,Chearavanont,Dhanin,Dhanin Chearavanont,1939-04-19,84,Male,Thailand,Thailand,Bangkok,Diversified,['Diversified'],,,False,Decreased
2024,4,159,12.5 B,Povlsen,Anders Holch,Anders Holch Povlsen,1972-11-04,51,Male,Denmark,Denmark,Aarhus,Fashion & Retail,['Fashion & Retail'],,,False,Increased
